target_id,target_name,target_agency,target_url,last_checked_at,last_status,body_hash_sha256,text_hash_sha256,content_length,row_count,etag,last_modified,redirect_url,consecutive_errors
disability-census-gov,disability.census.gov Portal,Census,https://disability.census.gov/,2026-03-10T16:47:32.655536+00:00,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,,1
nichd-disability-research,NICHD Disability Research (tombstone — 404 as of 2026-03),NIH,https://www.nichd.nih.gov/research/supported/disability,2026-06-24T11:11:49.643925+00:00,404,c5c68a70ad3b5512351aa3e403b0d90d8a0995de592a5c9eaaf91b7ee99e513a,175f4898cff36e191574bb71f6790ae398b35e5fc39b87f22b19b20d3f451e56,225412,,"""1782299508""","Wed, 24 Jun 2026 11:11:48 GMT",,0
nidilrr-home,NIDILRR Home (via ACL),ACL,https://acl.gov/about-acl/about-national-institute-disability-independent-living-rehabilitation-research,2026-03-10T19:35:58.068164+00:00,404,423bcc3cbb1c3bc49baa37b37d4130a5fdb9b2ce39ba32309df2c35dd8bfd83d,d7d0db930cc27c5fa2cca971fcfeebfea0d4f2baa2e757efa4e874b579577ec5,81281,,"W/""1773171356""","Tue, 10 Mar 2026 19:35:56 GMT",,0
nih-reporter-disability,NIH RePORTER Disability Grant Portfolio (API),NIH,https://api.reporter.nih.gov/v2/projects/search,2026-03-10T16:47:16.198717+00:00,405,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,,,,0
acl-data-research,ACL Aging and Disability Data and Research,ACL,https://acl.gov/aging-and-disability-in-america/data-and-research,2026-06-24T11:11:49.376719+00:00,200,33a0451f0eb7e86cc4175ac43f0480c14ac5b6ea6471664d72ef77415be1f299,c967694ac436c7b3971448b4d0fa28921fa130c746d7d92b0ef568e45ef71db1,75860,,"W/""1782246649""","Tue, 23 Jun 2026 20:30:49 GMT",,0
acl-programs,ACL Programs Directory,ACL,https://acl.gov/programs,2026-06-24T11:11:49.921151+00:00,200,a1dcde7a60ea986acb1c0b729121a23a3b8e4d6acf7dbf8eee0330a640ebf43e,849593adddffaf086bfd9283ebc55c6dfe2c97be030220d7d0219a852057d51b,105976,264,"W/""1782246205""","Tue, 23 Jun 2026 20:23:25 GMT",,0
acl-nci-data,ACL National Core Indicators,ACL,https://acl.gov/programs/strengthening-aging-and-disability-networks/national-core-indicators,2026-03-10T19:35:58.436284+00:00,404,8dd697f63e11ac851893403ec1b056583e8b57496581ff6ca28ce190ac10172e,2aae3e490f9e79b9640dda3e476515d83c6b0cfd17dc28dec7d75d73d41c8aba,72902,,"W/""1773171357""","Tue, 10 Mar 2026 19:35:57 GMT",,0
acl-home,ACL Homepage,ACL,https://acl.gov/,2026-06-24T11:11:50.042284+00:00,200,4459505b96e5857fb2a824a3543d3576ce87e7bb603ebd90157888b8a6a506c4,ae1d40db552f4b4202b1b47ac850418094a26d005a9405c7b6a3a4d375133869,82702,,"W/""1782246203""","Tue, 23 Jun 2026 20:23:23 GMT",,0
dol-odep-statistics,DOL ODEP Disability Statistics,DOL,https://www.dol.gov/agencies/odep/research-evaluation/statistics,2026-06-24T11:11:49.999967+00:00,200,259ed635651f77a598bc50831a09fc873a40838af86f3aaa0d12b61ec0daa993,e0514bbb405d7b8c3071e3622fbfafe73eb8d78223282b4bf11a9045dbfd7940,77101,,,,,0
bls-disability-employment,BLS Persons with a Disability: Labor Force Characteristics,BLS,https://www.bls.gov/news.release/disabl.toc.htm,2026-03-10T16:47:12.134038+00:00,403,3b8ebf506ef9ae7a20d15c9bd0d0c4c27ea2394b01e843cf2b7bec2eec9b8e2a,70c792f603b90c59e71c0b301f04450d66bac5a868be3d7b7c4cb812efc374cf,1325,,,,,0
askjan-home,Job Accommodation Network Homepage,JAN,https://askjan.org/,2026-06-24T11:11:50.545305+00:00,200,4efc875bdc7e7ac1bbc985244263deb6fc0bd6643540b2dfe0e30a4afa5b6b13,b322982adbe243e3d4c927f028bec9d348db482b3ebfbcb2147512b383623e5d,132818,,,,,0
askjan-a-to-z,JAN A-to-Z Disability Index,JAN,https://askjan.org/a-to-z.cfm,2026-06-24T11:11:50.594195+00:00,200,fb928a6ce35c60752d6fc23a4bce2d534d215fca1b33b73130c110b1f549403e,db4c9fe36f88c736ba54cc6dc9ac3f47c84f9e35bd580f2965b050ac970a3285,155149,,,,,0
ofccp-section503,OFCCP Section 503 Disability Page,DOL,https://www.dol.gov/agencies/ofccp/disability,2026-06-24T11:11:50.557775+00:00,503,af3ce1f05d93aee88318b3a705c98c68369f772ee191f9c480953fc91308d669,1cb89aea0c661ca408b86daacbd3c2ca0de24ca1d4c66164594bc441ce35c62b,15723,,"""76ccd501424285719a30fadf76da60c5:1525462031""","Fri, 04 May 2018 19:27:11 GMT",,0
